I, [2015-04-21T19:25:19.647425 #4160]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.0.rc.1)
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: ------Exception-------
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: Class: Kitchen::ClientError
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: Message: Could not load the 'hyperv' driver from the load path. Please ensure that your driver is installed as a gem or included in your Gemfile if using Bundler.
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: ---Nested Exception---
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: Class: LoadError
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: Message: cannot load such file -- pry
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: ------Backtrace-------
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/driver.rb:50:in `rescue in for_plugin'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/driver.rb:40:in `for_plugin'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:226:in `new_driver'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:239:in `new_instance'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:135:in `block in build_instances'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:134:in `map'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:134:in `with_index'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/config.rb:110:in `instances'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: C:/Users/Manuel/.chefdk/gem/ruby/2.0.0/gems/test-kitchen-1.4.0.rc.1/lib/kitchen/command/test.rb:43:in `block in call'
E, [2015-04-21T19:25:20.120402 #4160] ERROR -- Kitchen: c:/opscode/chefdk/embedded/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
